name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,DescribeFields,RecordTypeInfos,searchLayoutable,dataTranslationEnabled
AbnExperiment,,1Ga,Experiment,Experiments,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,false,true,false,,,,
AbnExperimentCohort,,1Gc,Experiment Cohort,Experiment Cohorts,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,false,,,,
AbnExperimentCohortAttrVal,,1Gf,Experiment Cohort Attribute Value,Experiment Cohort Attribute Values,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,false,,,,
AcceptedEventRelation,,,Accepted Event Relation,Accepted Event Relations,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,,false,,,,
Account,true,001,Account,Accounts,true,true,true,false,,,true,false,false,false,,false,true,false,true,,,false,false,true,true,true,,true,true,true,true,true,true,,,true,
AccountAccountRelation,true,0zo,Account Account Relationship,Account Account Relationships,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,false,,,true,
AccountAccountRelationOwnerSharingRule,,,Account Account Relationship Owner Rule,Account Account Relationship Owner Rule,true,true,true,false,OwnerSharingRule,AccountAccountRelation,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AccountBrand,true,0TU,Account Brand,Account Brands,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,true,,,true,
AccountBrandOwnerSharingRule,,,Account Brand Owner Rule,Account Brand Owner Rule,true,true,true,false,OwnerSharingRule,AccountBrand,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
AccountCleanInfo,true,1CA,Account Clean Info,Account Clean Info,false,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,,false,,,,
